spark_strongly_connected_component: job_2
,5376,5376,5120,8192,1860,1604,1732,3012,3516,3772,3388,5180,record sum


spark_strongly_connected_component: job_5
,458752,458752,245760,1818624,149384,132488,56200,736136,309368,326264,189560,1082488,record sum


spark_strongly_connected_component: job_8
,27000832,27000832,10485760,288358400,7800592,6946576,1799952,118695696,19200240,20054256,8685808,169662704,record sum


spark_strongly_connected_component: job_2
,5376,5376,5120,8192,1860,1604,1732,3012,3516,3772,3388,5180,record sum


spark_strongly_connected_component: job_5
,458752,458752,245760,1818624,149384,132488,56200,736136,309368,326264,189560,1082488,record sum


spark_strongly_connected_component: job_8
,27000832,27000832,10485760,288358400,7800592,6946576,1799952,118695696,19200240,20054256,8685808,169662704,record sum


