spark_connected_component: job_1,,,,,,,,,,,,
toCache, A_all, L_all, S_all, +_all, A_cache, L_cache, S_cache, +_cache, A_reduce, L_reduce, S_reduce, +_reduce
[3 12 30 39 47],30,30,13,46,17,17,2,57,40,40,14,123
[3 12 30 47],30,30,13,46,24,24,2,64,33,33,14,116
[3 12 33],30,30,13,46,27,25,4,68,30,32,12,112
[3 12 33 39],30,30,13,46,20,18,4,61,37,39,12,119
[3 12 33 39 47],30,30,13,46,18,16,2,59,39,41,14,121
[3 12 33 47],30,30,13,46,25,23,2,66,32,34,14,114
[3 12 39],30,30,13,46,26,26,8,69,31,31,8,111
[3 12 39 47],30,30,13,46,20,20,2,63,37,37,14,117
[3 12 47],30,30,13,46,27,27,2,70,30,30,14,110
[3 16],30,30,13,46,30,30,7,65,27,27,9,115
[3 16 26],30,30,13,46,20,20,7,45,37,37,9,135
[3 16 26 30],30,30,13,46,16,16,5,39,41,41,11,141
[3 16 26 30 33],30,30,13,46,14,14,4,37,43,43,12,143
[3 16 26 30 33 39],30,30,13,46,12,12,4,35,45,45,12,145
[3 16 26 30 33 39 47],30,30,13,46,10,10,2,33,47,47,14,147
[3 16 26 30 33 47],30,30,13,46,12,12,2,35,45,45,14,145
[3 16 26 30 39],30,30,13,46,14,14,5,37,43,43,11,143
[3 16 26 30 39 47],30,30,13,46,11,11,2,34,46,46,14,146
[3 16 26 30 47],30,30,13,46,13,13,2,36,44,44,14,144
[3 16 26 33],30,30,13,46,15,14,4,39,42,43,12,141
[3 16 26 33 39],30,30,13,46,13,12,4,37,44,45,12,143
[3 16 26 33 39 47],30,30,13,46,11,10,2,35,46,47,14,145
[3 16 26 33 47],30,30,13,46,13,12,2,37,44,45,14,143
[3 16 26 39],30,30,13,46,18,18,7,43,39,39,9,137
[3 16 26 39 47],30,30,13,46,13,13,2,38,44,44,14,142
[3 16 26 47],30,30,13,46,15,15,2,40,42,42,14,140
[3 16 30],30,30,13,46,26,26,5,59,31,31,11,121
[3 16 30 33],30,30,13,46,24,24,4,57,33,33,12,123
[3 16 30 33 39],30,30,13,46,17,17,4,50,40,40,12,130
[3 16 30 33 39 47],30,30,13,46,15,15,2,48,42,42,14,132
[3 16 30 33 47],30,30,13,46,22,22,2,55,35,35,14,125
[3 16 30 39],30,30,13,46,19,19,5,52,38,38,11,128
[3 16 30 39 47],30,30,13,46,16,16,2,49,41,41,14,131
[3 16 30 47],30,30,13,46,23,23,2,56,34,34,14,124
[3 16 33],30,30,13,46,25,24,4,59,32,33,12,121
[3 16 33 39],30,30,13,46,18,17,4,52,39,40,12,128
[3 16 33 39 47],30,30,13,46,16,15,2,50,41,42,14,130
[3 16 33 47],30,30,13,46,23,22,2,57,34,35,14,123
[3 16 39],30,30,13,46,23,23,7,58,34,34,9,122
[3 16 39 47],30,30,13,46,18,18,2,53,39,39,14,127
[3 16 47],30,30,13,46,25,25,2,60,32,32,14,120
[3 26],30,30,13,46,35,35,12,100,22,22,4,80
[3 26 30],30,30,13,46,21,21,5,79,36,36,11,101
[3 26 30 33],30,30,13,46,19,19,4,77,38,38,12,103
[3 26 30 33 39],30,30,13,46,17,17,4,75,40,40,12,105
[3 26 30 33 39 47],30,30,13,46,15,15,2,73,42,42,14,107
[3 26 30 33 47],30,30,13,46,17,17,2,75,40,40,14,105
[3 26 30 39],30,30,13,46,19,19,5,77,38,38,11,103
[3 26 30 39 47],30,30,13,46,16,16,2,74,41,41,14,106
[3 26 30 47],30,30,13,46,18,18,2,76,39,39,14,104
[3 26 33],30,30,13,46,25,19,4,84,32,38,12,96
[3 26 33 39],30,30,13,46,23,17,4,82,34,40,12,98
[3 26 33 39 47],30,30,13,46,21,15,2,80,36,42,14,100
[3 26 33 47],30,30,13,46,23,17,2,82,34,40,14,98
[3 26 39],30,30,13,46,33,33,12,98,24,24,4,82
[3 26 39 47],30,30,13,46,23,23,2,88,34,34,14,92
[3 26 47],30,30,13,46,25,25,2,90,32,32,14,90
[3 30],30,30,13,46,31,31,5,99,26,26,11,81
[3 30 33],30,30,13,46,29,29,4,97,28,28,12,83
[3 30 33 39],30,30,13,46,22,22,4,90,35,35,12,90
[3 30 33 39 47],30,30,13,46,20,20,2,88,37,37,14,92
[3 30 33 47],30,30,13,46,27,27,2,95,30,30,14,85
[3 30 39],30,30,13,46,24,24,5,92,33,33,11,88
[3 30 39 47],30,30,13,46,21,21,2,89,36,36,14,91
[3 30 47],30,30,13,46,28,28,2,96,29,29,14,84
[3 33],30,30,13,46,35,29,4,104,22,28,12,76
