spark_connected_component: job_1,,,,,,,,,,,,
toCache, A_all, L_all, S_all, +_all, A_cache, L_cache, S_cache, +_cache, A_reduce, L_reduce, S_reduce, +_reduce
[3 16 33 64],30,30,13,46,40,39,2,208,49,50,17,424
[3 16 39],30,30,13,46,39,39,10,206,50,50,9,426
[3 16 39 47],30,30,13,46,29,29,5,191,60,60,14,441
[3 16 39 47 50],30,30,13,46,27,27,4,189,62,62,15,443
[3 16 39 47 50 56],30,30,13,46,25,25,4,187,64,64,15,445
[3 16 39 47 50 56 64],30,30,13,46,23,23,2,185,66,66,17,447
[3 16 39 47 50 64],30,30,13,46,25,25,2,187,64,64,17,445
[3 16 39 47 56],30,30,13,46,27,27,5,189,62,62,14,443
[3 16 39 47 56 64],30,30,13,46,24,24,2,186,65,65,17,446
[3 16 39 47 64],30,30,13,46,26,26,2,188,63,63,17,444
[3 16 39 50],30,30,13,46,31,27,4,194,58,62,15,438
[3 16 39 50 56],30,30,13,46,29,25,4,192,60,64,15,440
[3 16 39 50 56 64],30,30,13,46,27,23,2,190,62,66,17,442
[3 16 39 50 64],30,30,13,46,29,25,2,192,60,64,17,440
[3 16 39 56],30,30,13,46,37,37,10,204,52,52,9,428
[3 16 39 56 64],30,30,13,46,29,29,2,196,60,60,17,436
[3 16 39 64],30,30,13,46,31,31,2,198,58,58,17,434
[3 16 47],30,30,13,46,43,43,5,219,46,46,14,413
[3 16 47 50],30,30,13,46,41,41,4,217,48,48,15,415
[3 16 47 50 56],30,30,13,46,32,32,4,208,57,57,15,424
[3 16 47 50 56 64],30,30,13,46,30,30,2,206,59,59,17,426
[3 16 47 50 64],30,30,13,46,39,39,2,215,50,50,17,417
[3 16 47 56],30,30,13,46,34,34,5,210,55,55,14,422
[3 16 47 56 64],30,30,13,46,31,31,2,207,58,58,17,425
[3 16 47 64],30,30,13,46,40,40,2,216,49,49,17,416
[3 16 50],30,30,13,46,45,41,4,222,44,48,15,410
[3 16 50 56],30,30,13,46,36,32,4,213,53,57,15,419
[3 16 50 56 64],30,30,13,46,34,30,2,211,55,59,17,421
[3 16 50 64],30,30,13,46,43,39,2,220,46,50,17,412
[3 16 56],30,30,13,46,44,44,10,225,45,45,9,407
[3 16 56 64],30,30,13,46,36,36,2,217,53,53,17,415
[3 16 64],30,30,13,46,45,45,2,226,44,44,17,406
[3 26],30,30,13,46,58,58,15,354,31,31,4,278
[3 26 30],30,30,13,46,37,37,8,284,52,52,11,348
[3 26 30 33],30,30,13,46,34,34,7,277,55,55,12,355
[3 26 30 33 39],30,30,13,46,30,30,7,269,59,59,12,363
[3 26 30 33 39 47],30,30,13,46,26,26,5,263,63,63,14,369
[3 26 30 33 39 47 50],30,30,13,46,24,24,4,261,65,65,15,371
[3 26 30 33 39 47 50 56],30,30,13,46,22,22,4,259,67,67,15,373
[3 26 30 33 39 47 50 56 64],30,30,13,46,20,20,2,257,69,69,17,375
[3 26 30 33 39 47 50 64],30,30,13,46,22,22,2,259,67,67,17,373
[3 26 30 33 39 47 56],30,30,13,46,24,24,5,261,65,65,14,371
[3 26 30 33 39 47 56 64],30,30,13,46,21,21,2,258,68,68,17,374
[3 26 30 33 39 47 64],30,30,13,46,23,23,2,260,66,66,17,372
[3 26 30 33 39 50],30,30,13,46,25,24,4,263,64,65,15,369
[3 26 30 33 39 50 56],30,30,13,46,23,22,4,261,66,67,15,371
[3 26 30 33 39 50 56 64],30,30,13,46,21,20,2,259,68,69,17,373
[3 26 30 33 39 50 64],30,30,13,46,23,22,2,261,66,67,17,371
[3 26 30 33 39 56],30,30,13,46,28,28,7,267,61,61,12,365
[3 26 30 33 39 56 64],30,30,13,46,23,23,2,262,66,66,17,370
[3 26 30 33 39 64],30,30,13,46,25,25,2,264,64,64,17,368
[3 26 30 33 47],30,30,13,46,30,30,5,271,59,59,14,361
[3 26 30 33 47 50],30,30,13,46,28,28,4,269,61,61,15,363
[3 26 30 33 47 50 56],30,30,13,46,24,24,4,265,65,65,15,367
[3 26 30 33 47 50 56 64],30,30,13,46,22,22,2,263,67,67,17,369
[3 26 30 33 47 50 64],30,30,13,46,26,26,2,267,63,63,17,365
[3 26 30 33 47 56],30,30,13,46,26,26,5,267,63,63,14,365
[3 26 30 33 47 56 64],30,30,13,46,23,23,2,264,66,66,17,368
[3 26 30 33 47 64],30,30,13,46,27,27,2,268,62,62,17,364
[3 26 30 33 50],30,30,13,46,29,28,4,271,60,61,15,361
[3 26 30 33 50 56],30,30,13,46,25,24,4,267,64,65,15,365
[3 26 30 33 50 56 64],30,30,13,46,23,22,2,265,66,67,17,367
[3 26 30 33 50 64],30,30,13,46,27,26,2,269,62,63,17,363
[3 26 30 33 56],30,30,13,46,30,30,7,273,59,59,12,359
[3 26 30 33 56 64],30,30,13,46,25,25,2,268,64,64,17,364
[3 26 30 33 64],30,30,13,46,29,29,2,272,60,60,17,360
[3 26 30 39],30,30,13,46,33,33,8,276,56,56,11,356
[3 26 30 39 47],30,30,13,46,27,27,5,267,62,62,14,365
[3 26 30 39 47 50],30,30,13,46,25,25,4,265,64,64,15,367
[3 26 30 39 47 50 56],30,30,13,46,23,23,4,263,66,66,15,369
[3 26 30 39 47 50 56 64],30,30,13,46,21,21,2,261,68,68,17,371
[3 26 30 39 47 50 64],30,30,13,46,23,23,2,263,66,66,17,369
[3 26 30 39 47 56],30,30,13,46,25,25,5,265,64,64,14,367
[3 26 30 39 47 56 64],30,30,13,46,22,22,2,262,67,67,17,370
[3 26 30 39 47 64],30,30,13,46,24,24,2,264,65,65,17,368
[3 26 30 39 50],30,30,13,46,27,25,4,268,62,64,15,364
[3 26 30 39 50 56],30,30,13,46,25,23,4,266,64,66,15,366
[3 26 30 39 50 56 64],30,30,13,46,23,21,2,264,66,68,17,368
[3 26 30 39 50 64],30,30,13,46,25,23,2,266,64,66,17,366
[3 26 30 39 56],30,30,13,46,31,31,8,274,58,58,11,358
[3 26 30 39 56 64],30,30,13,46,25,25,2,268,64,64,17,364
[3 26 30 39 64],30,30,13,46,27,27,2,270,62,62,17,362
[3 26 30 47],30,30,13,46,31,31,5,275,58,58,14,357
[3 26 30 47 50],30,30,13,46,29,29,4,273,60,60,15,359
[3 26 30 47 50 56],30,30,13,46,25,25,4,269,64,64,15,363
[3 26 30 47 50 56 64],30,30,13,46,23,23,2,267,66,66,17,365
[3 26 30 47 50 64],30,30,13,46,27,27,2,271,62,62,17,361
[3 26 30 47 56],30,30,13,46,27,27,5,271,62,62,14,361
[3 26 30 47 56 64],30,30,13,46,24,24,2,268,65,65,17,364
[3 26 30 47 64],30,30,13,46,28,28,2,272,61,61,17,360
[3 26 30 50],30,30,13,46,31,29,4,276,58,60,15,356
[3 26 30 50 56],30,30,13,46,27,25,4,272,62,64,15,360
[3 26 30 50 56 64],30,30,13,46,25,23,2,270,64,66,17,362
[3 26 30 50 64],30,30,13,46,29,27,2,274,60,62,17,358
[3 26 30 56],30,30,13,46,33,33,8,280,56,56,11,352
[3 26 30 56 64],30,30,13,46,27,27,2,274,62,62,17,358
[3 26 30 64],30,30,13,46,31,31,2,278,58,58,17,354
[3 26 33],30,30,13,46,40,34,7,298,49,55,12,334
[3 26 33 39],30,30,13,46,36,30,7,290,53,59,12,342
[3 26 33 39 47],30,30,13,46,32,26,5,284,57,63,14,348
[3 26 33 39 47 50],30,30,13,46,30,24,4,282,59,65,15,350
[3 26 33 39 47 50 56],30,30,13,46,28,22,4,280,61,67,15,352
[3 26 33 39 47 50 56 64],30,30,13,46,26,20,2,278,63,69,17,354
[3 26 33 39 47 50 64],30,30,13,46,28,22,2,280,61,67,17,352
[3 26 33 39 47 56],30,30,13,46,30,24,5,282,59,65,14,350
[3 26 33 39 47 56 64],30,30,13,46,27,21,2,279,62,68,17,353
[3 26 33 39 47 64],30,30,13,46,29,23,2,281,60,66,17,351
[3 26 33 39 50],30,30,13,46,31,24,4,284,58,65,15,348
[3 26 33 39 50 56],30,30,13,46,29,22,4,282,60,67,15,350
[3 26 33 39 50 56 64],30,30,13,46,27,20,2,280,62,69,17,352
[3 26 33 39 50 64],30,30,13,46,29,22,2,282,60,67,17,350
[3 26 33 39 56],30,30,13,46,34,28,7,288,55,61,12,344
[3 26 33 39 56 64],30,30,13,46,29,23,2,283,60,66,17,349
[3 26 33 39 64],30,30,13,46,31,25,2,285,58,64,17,347
[3 26 33 47],30,30,13,46,36,30,5,292,53,59,14,340
[3 26 33 47 50],30,30,13,46,34,28,4,290,55,61,15,342
[3 26 33 47 50 56],30,30,13,46,30,24,4,286,59,65,15,346
[3 26 33 47 50 56 64],30,30,13,46,28,22,2,284,61,67,17,348
[3 26 33 47 50 64],30,30,13,46,32,26,2,288,57,63,17,344
[3 26 33 47 56],30,30,13,46,32,26,5,288,57,63,14,344
[3 26 33 47 56 64],30,30,13,46,29,23,2,285,60,66,17,347
[3 26 33 47 64],30,30,13,46,33,27,2,289,56,62,17,343
[3 26 33 50],30,30,13,46,35,28,4,292,54,61,15,340
[3 26 33 50 56],30,30,13,46,31,24,4,288,58,65,15,344
[3 26 33 50 56 64],30,30,13,46,29,22,2,286,60,67,17,346
[3 26 33 50 64],30,30,13,46,33,26,2,290,56,63,17,342
[3 26 33 56],30,30,13,46,36,30,7,294,53,59,12,338
[3 26 33 56 64],30,30,13,46,31,25,2,289,58,64,17,343
[3 26 33 64],30,30,13,46,35,29,2,293,54,60,17,339
[3 26 39],30,30,13,46,54,54,15,346,35,35,4,286
[3 26 39 47],30,30,13,46,34,34,5,316,55,55,14,316
[3 26 39 47 50],30,30,13,46,32,32,4,314,57,57,15,318
[3 26 39 47 50 56],30,30,13,46,30,30,4,312,59,59,15,320
[3 26 39 47 50 56 64],30,30,13,46,28,28,2,310,61,61,17,322
[3 26 39 47 50 64],30,30,13,46,30,30,2,312,59,59,17,320
[3 26 39 47 56],30,30,13,46,32,32,5,314,57,57,14,318
[3 26 39 47 56 64],30,30,13,46,29,29,2,311,60,60,17,321
[3 26 39 47 64],30,30,13,46,31,31,2,313,58,58,17,319
[3 26 39 50],30,30,13,46,41,32,4,324,48,57,15,308
[3 26 39 50 56],30,30,13,46,39,30,4,322,50,59,15,310
[3 26 39 50 56 64],30,30,13,46,37,28,2,320,52,61,17,312
[3 26 39 50 64],30,30,13,46,39,30,2,322,50,59,17,310
[3 26 39 56],30,30,13,46,52,52,15,344,37,37,4,288
[3 26 39 56 64],30,30,13,46,39,39,2,331,50,50,17,301
[3 26 39 64],30,30,13,46,41,41,2,333,48,48,17,299
[3 26 47],30,30,13,46,38,38,5,324,51,51,14,308
[3 26 47 50],30,30,13,46,36,36,4,322,53,53,15,310
[3 26 47 50 56],30,30,13,46,32,32,4,318,57,57,15,314
[3 26 47 50 56 64],30,30,13,46,30,30,2,316,59,59,17,316
[3 26 47 50 64],30,30,13,46,34,34,2,320,55,55,17,312
[3 26 47 56],30,30,13,46,34,34,5,320,55,55,14,312
[3 26 47 56 64],30,30,13,46,31,31,2,317,58,58,17,315
[3 26 47 64],30,30,13,46,35,35,2,321,54,54,17,311
[3 26 50],30,30,13,46,45,36,4,332,44,53,15,300
[3 26 50 56],30,30,13,46,41,32,4,328,48,57,15,304
[3 26 50 56 64],30,30,13,46,39,30,2,326,50,59,17,306
[3 26 50 64],30,30,13,46,43,34,2,330,46,55,17,302
[3 26 56],30,30,13,46,54,54,15,350,35,35,4,282
[3 26 56 64],30,30,13,46,41,41,2,337,48,48,17,295
[3 26 64],30,30,13,46,45,45,2,341,44,44,17,291
[3 30],30,30,13,46,52,52,8,354,37,37,11,278
[3 30 33],30,30,13,46,49,49,7,347,40,40,12,285
[3 30 33 39],30,30,13,46,35,35,7,319,54,54,12,313
[3 30 33 39 47],30,30,13,46,31,31,5,313,58,58,14,319
[3 30 33 39 47 50],30,30,13,46,29,29,4,311,60,60,15,321
[3 30 33 39 47 50 56],30,30,13,46,27,27,4,309,62,62,15,323
[3 30 33 39 47 50 56 64],30,30,13,46,25,25,2,307,64,64,17,325
[3 30 33 39 47 50 64],30,30,13,46,27,27,2,309,62,62,17,323
[3 30 33 39 47 56],30,30,13,46,29,29,5,311,60,60,14,321
[3 30 33 39 47 56 64],30,30,13,46,26,26,2,308,63,63,17,324
[3 30 33 39 47 64],30,30,13,46,28,28,2,310,61,61,17,322
[3 30 33 39 50],30,30,13,46,30,29,4,313,59,60,15,319
[3 30 33 39 50 56],30,30,13,46,28,27,4,311,61,62,15,321
[3 30 33 39 50 56 64],30,30,13,46,26,25,2,309,63,64,17,323
[3 30 33 39 50 64],30,30,13,46,28,27,2,311,61,62,17,321
[3 30 33 39 56],30,30,13,46,33,33,7,317,56,56,12,315
[3 30 33 39 56 64],30,30,13,46,28,28,2,312,61,61,17,320
[3 30 33 39 64],30,30,13,46,30,30,2,314,59,59,17,318
[3 30 33 47],30,30,13,46,45,45,5,341,44,44,14,291
[3 30 33 47 50],30,30,13,46,43,43,4,339,46,46,15,293
[3 30 33 47 50 56],30,30,13,46,34,34,4,330,55,55,15,302
[3 30 33 47 50 56 64],30,30,13,46,32,32,2,328,57,57,17,304
[3 30 33 47 50 64],30,30,13,46,41,41,2,337,48,48,17,295
[3 30 33 47 56],30,30,13,46,36,36,5,332,53,53,14,300
[3 30 33 47 56 64],30,30,13,46,33,33,2,329,56,56,17,303
[3 30 33 47 64],30,30,13,46,42,42,2,338,47,47,17,294
[3 30 33 50],30,30,13,46,44,43,4,341,45,46,15,291
[3 30 33 50 56],30,30,13,46,35,34,4,332,54,55,15,300
[3 30 33 50 56 64],30,30,13,46,33,32,2,330,56,57,17,302
[3 30 33 50 64],30,30,13,46,42,41,2,339,47,48,17,293
[3 30 33 56],30,30,13,46,40,40,7,338,49,49,12,294
[3 30 33 56 64],30,30,13,46,35,35,2,333,54,54,17,299
[3 30 33 64],30,30,13,46,44,44,2,342,45,45,17,290
[3 30 39],30,30,13,46,38,38,8,326,51,51,11,306
[3 30 39 47],30,30,13,46,32,32,5,317,57,57,14,315
[3 30 39 47 50],30,30,13,46,30,30,4,315,59,59,15,317
[3 30 39 47 50 56],30,30,13,46,28,28,4,313,61,61,15,319
[3 30 39 47 50 56 64],30,30,13,46,26,26,2,311,63,63,17,321
[3 30 39 47 50 64],30,30,13,46,28,28,2,313,61,61,17,319
[3 30 39 47 56],30,30,13,46,30,30,5,315,59,59,14,317
[3 30 39 47 56 64],30,30,13,46,27,27,2,312,62,62,17,320
[3 30 39 47 64],30,30,13,46,29,29,2,314,60,60,17,318
[3 30 39 50],30,30,13,46,32,30,4,318,57,59,15,314
[3 30 39 50 56],30,30,13,46,30,28,4,316,59,61,15,316
[3 30 39 50 56 64],30,30,13,46,28,26,2,314,61,63,17,318
[3 30 39 50 64],30,30,13,46,30,28,2,316,59,61,17,316
[3 30 39 56],30,30,13,46,36,36,8,324,53,53,11,308
[3 30 39 56 64],30,30,13,46,30,30,2,318,59,59,17,314
[3 30 39 64],30,30,13,46,32,32,2,320,57,57,17,312
[3 30 47],30,30,13,46,46,46,5,345,43,43,14,287
[3 30 47 50],30,30,13,46,44,44,4,343,45,45,15,289
[3 30 47 50 56],30,30,13,46,35,35,4,334,54,54,15,298
[3 30 47 50 56 64],30,30,13,46,33,33,2,332,56,56,17,300
[3 30 47 50 64],30,30,13,46,42,42,2,341,47,47,17,291
[3 30 47 56],30,30,13,46,37,37,5,336,52,52,14,296
[3 30 47 56 64],30,30,13,46,34,34,2,333,55,55,17,299
[3 30 47 64],30,30,13,46,43,43,2,342,46,46,17,290
[3 30 50],30,30,13,46,46,44,4,346,43,45,15,286
[3 30 50 56],30,30,13,46,37,35,4,337,52,54,15,295
[3 30 50 56 64],30,30,13,46,35,33,2,335,54,56,17,297
[3 30 50 64],30,30,13,46,44,42,2,344,45,47,17,288
[3 30 56],30,30,13,46,43,43,8,345,46,46,11,287
[3 30 56 64],30,30,13,46,37,37,2,339,52,52,17,293
[3 30 64],30,30,13,46,46,46,2,348,43,43,17,284
[3 33],30,30,13,46,55,49,7,368,34,40,12,264
[3 33 39],30,30,13,46,41,35,7,340,48,54,12,292
[3 33 39 47],30,30,13,46,37,31,5,334,52,58,14,298
[3 33 39 47 50],30,30,13,46,35,29,4,332,54,60,15,300
[3 33 39 47 50 56],30,30,13,46,33,27,4,330,56,62,15,302
[3 33 39 47 50 56 64],30,30,13,46,31,25,2,328,58,64,17,304
[3 33 39 47 50 64],30,30,13,46,33,27,2,330,56,62,17,302
[3 33 39 47 56],30,30,13,46,35,29,5,332,54,60,14,300
[3 33 39 47 56 64],30,30,13,46,32,26,2,329,57,63,17,303
[3 33 39 47 64],30,30,13,46,34,28,2,331,55,61,17,301
[3 33 39 50],30,30,13,46,36,29,4,334,53,60,15,298
[3 33 39 50 56],30,30,13,46,34,27,4,332,55,62,15,300
[3 33 39 50 56 64],30,30,13,46,32,25,2,330,57,64,17,302
[3 33 39 50 64],30,30,13,46,34,27,2,332,55,62,17,300
[3 33 39 56],30,30,13,46,39,33,7,338,50,56,12,294
[3 33 39 56 64],30,30,13,46,34,28,2,333,55,61,17,299
[3 33 39 64],30,30,13,46,36,30,2,335,53,59,17,297
[3 33 47],30,30,13,46,51,45,5,362,38,44,14,270
[3 33 47 50],30,30,13,46,49,43,4,360,40,46,15,272
[3 33 47 50 56],30,30,13,46,40,34,4,351,49,55,15,281
[3 33 47 50 56 64],30,30,13,46,38,32,2,349,51,57,17,283
[3 33 47 50 64],30,30,13,46,47,41,2,358,42,48,17,274
[3 33 47 56],30,30,13,46,42,36,5,353,47,53,14,279
[3 33 47 56 64],30,30,13,46,39,33,2,350,50,56,17,282
[3 33 47 64],30,30,13,46,48,42,2,359,41,47,17,273
[3 33 50],30,30,13,46,50,43,4,362,39,46,15,270
[3 33 50 56],30,30,13,46,41,34,4,353,48,55,15,279
[3 33 50 56 64],30,30,13,46,39,32,2,351,50,57,17,281
[3 33 50 64],30,30,13,46,48,41,2,360,41,48,17,272
[3 33 56],30,30,13,46,46,40,7,359,43,49,12,273
[3 33 56 64],30,30,13,46,41,35,2,354,48,54,17,278
[3 33 64],30,30,13,46,50,44,2,363,39,45,17,269
[3 39],30,30,13,46,59,59,15,396,30,30,4,236
[3 39 47],30,30,13,46,39,39,5,366,50,50,14,266
[3 39 47 50],30,30,13,46,37,37,4,364,52,52,15,268
[3 39 47 50 56],30,30,13,46,35,35,4,362,54,54,15,270
[3 39 47 50 56 64],30,30,13,46,33,33,2,360,56,56,17,272
[3 39 47 50 64],30,30,13,46,35,35,2,362,54,54,17,270
[3 39 47 56],30,30,13,46,37,37,5,364,52,52,14,268
[3 39 47 56 64],30,30,13,46,34,34,2,361,55,55,17,271
[3 39 47 64],30,30,13,46,36,36,2,363,53,53,17,269
[3 39 50],30,30,13,46,46,37,4,374,43,52,15,258
[3 39 50 56],30,30,13,46,44,35,4,372,45,54,15,260
[3 39 50 56 64],30,30,13,46,42,33,2,370,47,56,17,262
[3 39 50 64],30,30,13,46,44,35,2,372,45,54,17,260
[3 39 56],30,30,13,46,57,57,15,394,32,32,4,238
[3 39 56 64],30,30,13,46,44,44,2,381,45,45,17,251
[3 39 64],30,30,13,46,46,46,2,383,43,43,17,249
[3 47],30,30,13,46,53,53,5,394,36,36,14,238
[3 47 50],30,30,13,46,51,51,4,392,38,38,15,240
[3 47 50 56],30,30,13,46,42,42,4,383,47,47,15,249
[3 47 50 56 64],30,30,13,46,40,40,2,381,49,49,17,251
[3 47 50 64],30,30,13,46,49,49,2,390,40,40,17,242
[3 47 56],30,30,13,46,44,44,5,385,45,45,14,247
[3 47 56 64],30,30,13,46,41,41,2,382,48,48,17,250
[3 47 64],30,30,13,46,50,50,2,391,39,39,17,241
[3 50],30,30,13,46,60,51,4,402,29,38,15,230
[3 50 56],30,30,13,46,51,42,4,393,38,47,15,239
[3 50 56 64],30,30,13,46,49,40,2,391,40,49,17,241
[3 50 64],30,30,13,46,58,49,2,400,31,40,17,232
[3 56],30,30,13,46,64,64,15,415,25,25,4,217
[3 56 64],30,30,13,46,51,51,2,402,38,38,17,230
[3 64],30,30,13,46,60,60,2,411,29,29,17,221
[12],30,30,13,46,73,73,15,480,16,16,4,152
[12 16],30,30,13,46,69,69,14,442,20,20,5,190
[12 16 26],30,30,13,46,42,42,14,316,47,47,5,316
[12 16 26 30],30,30,13,46,36,36,12,296,53,53,7,336
[12 16 26 30 33],30,30,13,46,33,33,11,289,56,56,8,343
[12 16 26 30 33 39],30,30,13,46,29,29,11,281,60,60,8,351
[12 16 26 30 33 39 47],30,30,13,46,25,25,9,275,64,64,10,357
[12 16 26 30 33 39 47 50],30,30,13,46,23,23,8,273,66,66,11,359
[12 16 26 30 33 39 47 50 56],30,30,13,46,21,21,8,271,68,68,11,361
[12 16 26 30 33 39 47 50 56 64],30,30,13,46,19,19,6,269,70,70,13,363
[12 16 26 30 33 39 47 50 64],30,30,13,46,21,21,6,271,68,68,13,361
[12 16 26 30 33 39 47 56],30,30,13,46,23,23,9,273,66,66,10,359
[12 16 26 30 33 39 47 56 64],30,30,13,46,20,20,6,270,69,69,13,362
[12 16 26 30 33 39 47 64],30,30,13,46,22,22,6,272,67,67,13,360
[12 16 26 30 33 39 50],30,30,13,46,24,23,8,275,65,66,11,357
[12 16 26 30 33 39 50 56],30,30,13,46,22,21,8,273,67,68,11,359
[12 16 26 30 33 39 50 56 64],30,30,13,46,20,19,6,271,69,70,13,361
[12 16 26 30 33 39 50 64],30,30,13,46,22,21,6,273,67,68,13,359
[12 16 26 30 33 39 56],30,30,13,46,27,27,11,279,62,62,8,353
[12 16 26 30 33 39 56 64],30,30,13,46,22,22,6,274,67,67,13,358
[12 16 26 30 33 39 64],30,30,13,46,24,24,6,276,65,65,13,356
[12 16 26 30 33 47],30,30,13,46,29,29,9,283,60,60,10,349
[12 16 26 30 33 47 50],30,30,13,46,27,27,8,281,62,62,11,351
[12 16 26 30 33 47 50 56],30,30,13,46,23,23,8,277,66,66,11,355
[12 16 26 30 33 47 50 56 64],30,30,13,46,21,21,6,275,68,68,13,357
[12 16 26 30 33 47 50 64],30,30,13,46,25,25,6,279,64,64,13,353
[12 16 26 30 33 47 56],30,30,13,46,25,25,9,279,64,64,10,353
[12 16 26 30 33 47 56 64],30,30,13,46,22,22,6,276,67,67,13,356
[12 16 26 30 33 47 64],30,30,13,46,26,26,6,280,63,63,13,352
[12 16 26 30 33 50],30,30,13,46,28,27,8,283,61,62,11,349
[12 16 26 30 33 50 56],30,30,13,46,24,23,8,279,65,66,11,353
[12 16 26 30 33 50 56 64],30,30,13,46,22,21,6,277,67,68,13,355
[12 16 26 30 33 50 64],30,30,13,46,26,25,6,281,63,64,13,351
[12 16 26 30 33 56],30,30,13,46,29,29,11,285,60,60,8,347
[12 16 26 30 33 56 64],30,30,13,46,24,24,6,280,65,65,13,352
[12 16 26 30 33 64],30,30,13,46,28,28,6,284,61,61,13,348
[12 16 26 30 39],30,30,13,46,32,32,12,288,57,57,7,344
[12 16 26 30 39 47],30,30,13,46,26,26,9,279,63,63,10,353
[12 16 26 30 39 47 50],30,30,13,46,24,24,8,277,65,65,11,355
[12 16 26 30 39 47 50 56],30,30,13,46,22,22,8,275,67,67,11,357
[12 16 26 30 39 47 50 56 64],30,30,13,46,20,20,6,273,69,69,13,359
[12 16 26 30 39 47 50 64],30,30,13,46,22,22,6,275,67,67,13,357
[12 16 26 30 39 47 56],30,30,13,46,24,24,9,277,65,65,10,355
[12 16 26 30 39 47 56 64],30,30,13,46,21,21,6,274,68,68,13,358
[12 16 26 30 39 47 64],30,30,13,46,23,23,6,276,66,66,13,356
[12 16 26 30 39 50],30,30,13,46,26,24,8,280,63,65,11,352
[12 16 26 30 39 50 56],30,30,13,46,24,22,8,278,65,67,11,354
[12 16 26 30 39 50 56 64],30,30,13,46,22,20,6,276,67,69,13,356
[12 16 26 30 39 50 64],30,30,13,46,24,22,6,278,65,67,13,354
[12 16 26 30 39 56],30,30,13,46,30,30,12,286,59,59,7,346
[12 16 26 30 39 56 64],30,30,13,46,24,24,6,280,65,65,13,352
[12 16 26 30 39 64],30,30,13,46,26,26,6,282,63,63,13,350
[12 16 26 30 47],30,30,13,46,30,30,9,287,59,59,10,345
[12 16 26 30 47 50],30,30,13,46,28,28,8,285,61,61,11,347
[12 16 26 30 47 50 56],30,30,13,46,24,24,8,281,65,65,11,351
[12 16 26 30 47 50 56 64],30,30,13,46,22,22,6,279,67,67,13,353
[12 16 26 30 47 50 64],30,30,13,46,26,26,6,283,63,63,13,349
[12 16 26 30 47 56],30,30,13,46,26,26,9,283,63,63,10,349
[12 16 26 30 47 56 64],30,30,13,46,23,23,6,280,66,66,13,352
[12 16 26 30 47 64],30,30,13,46,27,27,6,284,62,62,13,348
[12 16 26 30 50],30,30,13,46,30,28,8,288,59,61,11,344
[12 16 26 30 50 56],30,30,13,46,26,24,8,284,63,65,11,348
[12 16 26 30 50 56 64],30,30,13,46,24,22,6,282,65,67,13,350
[12 16 26 30 50 64],30,30,13,46,28,26,6,286,61,63,13,346
[12 16 26 30 56],30,30,13,46,32,32,12,292,57,57,7,340
[12 16 26 30 56 64],30,30,13,46,26,26,6,286,63,63,13,346
[12 16 26 30 64],30,30,13,46,30,30,6,290,59,59,13,342
[12 16 26 33],30,30,13,46,34,33,11,295,55,56,8,337
[12 16 26 33 39],30,30,13,46,30,29,11,287,59,60,8,345
[12 16 26 33 39 47],30,30,13,46,26,25,9,281,63,64,10,351
[12 16 26 33 39 47 50],30,30,13,46,24,23,8,279,65,66,11,353
[12 16 26 33 39 47 50 56],30,30,13,46,22,21,8,277,67,68,11,355
[12 16 26 33 39 47 50 56 64],30,30,13,46,20,19,6,275,69,70,13,357
[12 16 26 33 39 47 50 64],30,30,13,46,22,21,6,277,67,68,13,355
[12 16 26 33 39 47 56],30,30,13,46,24,23,9,279,65,66,10,353
[12 16 26 33 39 47 56 64],30,30,13,46,21,20,6,276,68,69,13,356
[12 16 26 33 39 47 64],30,30,13,46,23,22,6,278,66,67,13,354
[12 16 26 33 39 50],30,30,13,46,25,23,8,281,64,66,11,351
[12 16 26 33 39 50 56],30,30,13,46,23,21,8,279,66,68,11,353
[12 16 26 33 39 50 56 64],30,30,13,46,21,19,6,277,68,70,13,355
[12 16 26 33 39 50 64],30,30,13,46,23,21,6,279,66,68,13,353
[12 16 26 33 39 56],30,30,13,46,28,27,11,285,61,62,8,347
[12 16 26 33 39 56 64],30,30,13,46,23,22,6,280,66,67,13,352
[12 16 26 33 39 64],30,30,13,46,25,24,6,282,64,65,13,350
[12 16 26 33 47],30,30,13,46,30,29,9,289,59,60,10,343
[12 16 26 33 47 50],30,30,13,46,28,27,8,287,61,62,11,345
[12 16 26 33 47 50 56],30,30,13,46,24,23,8,283,65,66,11,349
[12 16 26 33 47 50 56 64],30,30,13,46,22,21,6,281,67,68,13,351
[12 16 26 33 47 50 64],30,30,13,46,26,25,6,285,63,64,13,347
[12 16 26 33 47 56],30,30,13,46,26,25,9,285,63,64,10,347
[12 16 26 33 47 56 64],30,30,13,46,23,22,6,282,66,67,13,350
[12 16 26 33 47 64],30,30,13,46,27,26,6,286,62,63,13,346
[12 16 26 33 50],30,30,13,46,29,27,8,289,60,62,11,343
[12 16 26 33 50 56],30,30,13,46,25,23,8,285,64,66,11,347
[12 16 26 33 50 56 64],30,30,13,46,23,21,6,283,66,68,13,349
[12 16 26 33 50 64],30,30,13,46,27,25,6,287,62,64,13,345
[12 16 26 33 56],30,30,13,46,30,29,11,291,59,60,8,341
[12 16 26 33 56 64],30,30,13,46,25,24,6,286,64,65,13,346
[12 16 26 33 64],30,30,13,46,29,28,6,290,60,61,13,342
[12 16 26 39],30,30,13,46,38,38,14,308,51,51,5,324
[12 16 26 39 47],30,30,13,46,28,28,9,293,61,61,10,339
