toCache, A_all, L_all, S_all, +_all, A_cache, L_cache, S_cache, +_cache, A_reduce, L_reduce, S_reduce, +_reduce
[],11,11,10,15,11,11,10,15,0,0,0,0
[2],11,11,10,15,8,8,7,9,3,3,3,6
[2 3],11,11,10,15,7,7,7,8,4,4,3,7
[2 3 27],11,11,10,15,6,6,6,7,5,5,4,8
[2 27],11,11,10,15,7,7,6,8,4,4,4,7
[3],11,11,10,15,10,7,10,11,1,4,0,4
[3 27],11,11,10,15,9,6,9,10,2,5,1,5
[27],11,11,10,15,10,10,9,14,1,1,1,1
,,,,,68,62,64,82,20,26,16,38
,,,,,4,5,,7,8,9,¡Ì,11
