spark_svm: job_6
,88,88,80,120,68,62,64,82,20,26,16,38,record sum


spark_svm: job_6
,88,88,80,120,68,62,64,82,20,26,16,38,record sum


spark_svm: job_6
,88,88,80,120,68,62,64,82,20,26,16,38,record sum


spark_svm: job_6
,88,88,80,120,68,62,64,82,20,26,16,38,record sum


spark_svm: job_6
,88,88,80,120,68,62,64,82,20,26,16,38,record sum


spark_svm: job_6
,88,88,80,120,68,62,64,82,20,26,16,38,record sum


spark_svm: job_6
,88,88,80,120,68,62,64,82,20,26,16,38,record sum


spark_svm: job_6
,88,88,80,120,68,62,64,82,20,26,16,38,record sum


spark_svm: job_6
,88,88,80,120,68,62,64,82,20,26,16,38,record sum


